"","area","G_XWE_B","G_XBE_B","G_XWE_L","G_XBE_L","G_XWE_K","G_XBE_K","G_XWT","G_XBT","Gini_outcome","M_XWE_B","M_XBE_B","M_XWE_L","M_XBE_L","M_XWE_K","M_XBE_K","M_XWT","M_XBT","MLD_outcome"
"1","2017","0.255176858693897","0.241558621803181","0.255176858693897","0.238163068904998","0.255176858693897","0.29264648364201","0.296181454736623","0.17427182390347","0.314585430530272","0.144251788611666","0.112991495573153","0.144251788611666","0.124670004968353","0.144251788611666","0.213447160330805","0.205504459576148","0.0517388246086706","0.257243284184819"
"2","R","0.278574650529549","0.319695476201781","0.278574650529549","0.315476203740575","0.278574650529549","0.352971352843345","0.369297349605208","0.174076721911111","0.384096816367945","0.157518207985838","0.201707881121991","0.157518207985838","0.211215821755075","0.157518207985838","0.290287865409325","0.310090828057619","0.0491352610502105","0.359226089107829"
"3","U","0.200056018313667","0.215808040082513","0.200056018313667","0.213235308432947","0.200056018313667","0.245259927956597","0.253470740484811","0.125836718647351","0.264204674280576","0.0892321535833315","0.0894927987805261","0.0892321535833315","0.101468271958203","0.0892321535833315","0.151338542170603","0.152609778310118","0.0261151740537396","0.178724952363858"
"4","N","0.190453195479502","0.228437293127183","0.190453195479502","0.225155136858534","0.190453195479502","0.247089563804259","0.261619501565829","0.11184701509222","0.271388985654573","0.0797002094610892","0.0977279613571685","0.0797002094610892","0.104968901382559","0.0797002094610892","0.142236265847376","0.156971657315421","0.0204565135028367","0.177428170818258"
"5","NO","0.215006376587223","0.255581563538101","0.215006376587223","0.247268951492267","0.215006376587223","0.282294414926663","0.289292908455347","0.137323330144682","0.306342431068054","0.0956683133717174","0.127074687688342","0.0956683133717174","0.135695914752402","0.0956683133717174","0.185777274245594","0.193229445669584","0.0295135553904747","0.222743001060059"
"6","CO","0.210181925188782","0.231677853489525","0.210181925188782","0.230888979448349","0.210181925188782","0.262990424627028","0.270185255646525","0.144863573593714","0.289959257216499","0.101998829883999","0.101050369514365","0.101998829883999","0.106948887338398","0.101998829883999","0.150417292983543","0.165713986018371","0.0373352133799939","0.203049199398364"
"7","C","0.256894640131366","0.251141644205911","0.256894640131366","0.246615261003151","0.256894640131366","0.29187280663843","0.304016269110001","0.157243790223088","0.315571378055776","0.131862392765059","0.120945915871277","0.131862392765059","0.140330831974776","0.131862392765059","0.213039026564935","0.213842026850879","0.0389662817854579","0.252808308636337"
"8","CDMX","0.17543242950401","0.185570945453237","0.17543242950401","0.18073647918068","0.17543242950401","0.204413420051809","0.218406595887412","0.10137742577577","0.22270910278117","0.0658009351597425","0.0647060073758163","0.0658009351597425","0.0789832780387887","0.0658009351597425","0.108624376780007","0.114290600014928","0.0162163425206306","0.130506942535559"
"9","S","0.332646793920395","0.309745837336823","0.332646793920395","0.303938905258089","0.332646793920395","0.370401641351512","0.379349573874308","0.209519416818697","0.398473108886475","0.214334361240381","0.188276889536773","0.214334361240381","0.198911637994558","0.214334361240381","0.333392242677758","0.333803133573888","0.0688081172032662","0.402611250777154"
